entity_group,score,word,start,end,correct_label
LIVB,0.9291019,patiente,3,12,LIVB
LIVB,0.5188701,ans,30,34,LIVB
CHEM,0.30618647,kg,45,48,ANAT
DISO,0.6358072,allergie,72,81,DISO
CHEM_DISO,0.33818632,médicamenteuse,81,96,CHEM
DISO,0.91524076,asthme allergique,144,162,DISO
PROC,0.9768049,greffe,189,196,PROC
ANAT_PROC,0.5425594,cellules hématopoïétiques,199,225,ANAT_PROC
PROC,0.7319473,admission,250,260,PROC
PROC,0.5390652,patiente,264,273,LIVB
DISO,0.9495598,fatigue,289,297,DISO
DISO,0.9315214,ecchymoses,303,313,DISO
PROC,0.8157247,examens,318,326,PROC
ANAT_PROC,0.5967244,hématologiques,326,341,ANAT_PROC
PROC,0.96744543,diagnostic,368,379,PROC
DISO,0.79917973,leucémie aiguë lymphoblastique,382,413,DISO
DISO,0.7577827,rémission,418,428,DISO
PROC,0.92590445,traitement d’induction,460,483,PROC
PROC,0.6036691,cycles,504,511,PROC
PROC,0.9598693,chimiothérapie,514,529,PROC
CHEM,0.54725724,hyperCVAD,537,547,PROC
CHEM,0.9012606,cyclophosphamide,549,565,CHEM
DISO,0.7801474,hyperfractionnée,565,582,CHEM
CHEM,0.7313639,vincristine,583,595,CHEM
CHEM,0.9315971,doxorubicine,596,609,CHEM
CHEM,0.9324252,dexaméthasone,610,624,CHEM
PROC,0.5264328,analyses cytogénétiques,630,654,PROC
DISO,0.5133981,chromosome,678,689,ANAT
DISO,0.8374618,Philadelphie,692,705,GEOG
DISO,0.5444665,réarrangement,728,742,DISO
DISO,0.33813784,gène,745,750,ANAT
ANAT,0.3135721,MM,750,753,DISO
DISO,0.3735603,L,753,754,DISO
DISO,0.73050493,mixed lineage leukemia,756,778,DISO
DISO,0.6387311,récidive,811,820,DISO
DISO,0.9530007,leucémie,826,835,DISO
PROC,0.97147906,greffe,840,847,PROC
ANAT_PROC,0.42911783,cellules hématopoïétiques,850,876,ANAT_PROC
CHEM,0.2356372,apparenté,934,944,LIVB
LIVB,0.41793677,patiente,948,957,LIVB
DISO,0.31700337,fratrie,999,1007,LIVB
PROC,0.65018326,conditionnement,1021,1037,PROC
CHEM,0.37579542,association,1054,1065,CHEM
CHEM,0.9396995,cyclophosphamide,1068,1085,CHEM
CHEM,0.74206233,dose,1093,1098,CHEM
PROC,0.77167475,radiothérapie pancorporelle,1104,1132,PROC
LIVB,0.94908875,patiente,1153,1162,LIVB
PROC,0.9699845,greffe,1170,1177,PROC
PROC,0.7420982,analyses,1182,1191,PROC
ANAT,0.48483312,rénales,1230,1238,ANAT
CHEM,0.8930237,créatinine,1240,1250,CHEM
CHEM,0.64744747,μmol/l,1255,1262,CHEM
ANAT_DISO,0.23811972,hépatiques,1264,1275,ANAT_DISO
CHEM,0.8532911,bilirubine,1277,1287,CHEM
CHEM,0.47539553,mol,1300,1303,CHEM
CHEM,0.60673165,alanine aminotransférase,1306,1331,CHEM
CHEM,0.8055423,U,1335,1337,CHEM
CHEM,0.5201092,aspartate aminotransférase,1340,1367,CHEM
CHEM,0.37811285,U,1372,1374,CHEM
DISO,0.34883165,globules,1397,1405,ANAT
LIVB,0.512798,× 109,1419,1424,ANAT
DISO,0.3214742,neutrophiles,1427,1440,ANAT
ANAT,0.159244,plaquettes,1455,1466,ANAT
CHEM,0.4293267,hémoglobine,1481,1493,ANAT
CHEM,0.4789114,122 g,1495,1501,ANAT
CHEM,0.61149096,l,1502,1503,ANAT
PROC,0.92566055,transplantation,1526,1542,PROC
ANAT_PROC,0.22920473,greffon,1545,1553,ANAT_PROC
LIVB,0.9621708,patiente,1557,1566,LIVB
DISO,0.9386108,fièvre,1588,1595,DISO
LIVB,0.22483754,C,1604,1605,DISO
DISO,0.94635326,céphalées,1619,1629,DISO
DISO,0.86333096,rhinorrhée,1635,1646,DISO
DISO,0.19430298,sécrétions,1655,1666,DISO
DISO,0.561038,ulentes,1670,1677,DISO
DISO,0.6973436,neutropénique,1687,1701,DISO
CHEM,0.44235668,entamé,1713,1720,PROC
PROC,0.97925454,traitement,1723,1734,PROC
CHEM,0.82751316,pipéracilline-tazobactam,1751,1776,CHEM
CHEM,0.64465684,"3,375 g",1778,1785,CHEM
DISO,0.96298885,sinusite aiguë,1844,1859,DISO
PROC,0.68630546,commencer,1873,1883,PROC
PROC,0.9612114,antibiothérapie,1889,1905,PROC
LIVB,0.9540406,patiente,1925,1934,LIVB
PROC,0.97904676,traitement,1947,1958,PROC
CHEM,0.90898895,ciprofloxacine,1963,1978,CHEM
PROC,0.9342605,prévention,1998,2009,PROC
DISO,0.94664836,infections bactériennes,2013,2037,DISO
DISO,0.9303411,neutropénie,2058,2070,DISO
PROC,0.9708938,greffe,2087,2094,PROC
DISO,0.98290676,symptômes,2099,2109,DISO
DISO,0.9606196,sinusite,2112,2121,DISO
PROC,0.9681194,scanographie,2179,2192,PROC
ANAT,0.45320284,massif,2195,2202,ANAT
ANAT_DISO,0.40942177,facial,2202,2209,ANAT_DISO
PROC,0.909842,comblement,2221,2232,DISO
ANAT_DISO,0.53234273,sinus ethmoïdes,2250,2266,ANAT_DISO
PROC,0.37583637,radiologiste,2270,2283,LIVB
DISO,0.9695691,sinusite aiguë,2302,2317,DISO
DISO,0.9404242,foyer chronique,2321,2337,DISO
PROC,0.97298187,greffe,2374,2381,PROC
LIVB,0.9714631,patiente,2385,2394,LIVB
DISO,0.88749826,récidive,2409,2418,DISO
DISO,0.93673104,fièvre,2421,2428,DISO
DISO,0.37271726,°C,2434,2437,DISO
PROC,0.5359446,neutropénique,2446,2460,DISO
