entity_group,score,word,start,end,correct_label
LIVB,0.9170658,femme,3,9,LIVB
LIVB,0.8264375,50 ans,12,19,LIVB
DISO,0.56164944,africaine,29,39,LIVB
DISO,0.97537655,symptômes,88,98,DISO
DISO,0.7102331,atteinte,101,109,DISO
ANAT_DISO,0.3649843,neurologique,109,122,ANAT_DISO
DISO,0.9340287,confusion,125,135,DISO
DISO,0.75350726,ataxie,139,145,DISO
DISO,0.95922184,paresthésie,149,161,DISO
DISO,0.8748782,céphalées,167,177,DISO
LIVB,0.5335921,médecin,259,267,LIVB
CHEM,0.93397325,médicament,308,319,CHEM
CHEM,0.8226822,produit de santé,322,339,CHEM
DISO,0.30411956,allergie,363,371,DISO
CHEM,0.7434764,fumait pas,375,386,PHEN
CHEM,0.6794656,d’alcool,407,416,CHEM
DISO,0.94462836,symptômes,421,431,DISO
ANAT,0.7481175,deux dernières semaines,487,511,PHEN
LIVB,0.51939535,Elle,512,517,LIVB
PHYS,0.44125533,perte,538,544,DISO
PHYS,0.4247061,poids,547,553,DISO
ANAT,0.49791026,derniers,566,575,PHEN
PROC,0.5077928,prise de,585,594,PROC
ANAT_PROC,0.4545031,sang,594,599,ANAT_PROC
DISO,0.9497245,pancytopénie,610,623,DISO
DISO,0.94129467,insuffisance,636,649,DISO
ANAT_DISO,0.58402526,rénale,649,656,ANAT_DISO
PHEN,0.21807459,clairance,665,675,DISO
CHEM,0.31331608,la créatinine,678,692,CHEM
CHEM,0.24660283,ml/min,705,712,PHEN
CHEM,0.46858817,formule de Cockcroft,721,742,PROC
CHEM,0.4047611,Gault,745,751,PROC
CHEM,0.35173064,"poids de 48,2 kg",759,776,PHEN
CHEM,0.2213383,créatinine sérique,790,809,CHEM
CHEM,0.5311132,98 μmol/L7.,812,824,PHEN
DISO,0.29330808,valeurs,828,836,PHEN
ANAT,0.27087843,laboratoire,839,851,PROC
CHEM,0.25980827,admission,856,865,PROC
CHEM,0.25987104,patiente,871,880,LIVB
PROC,0.9578072,examens radiologiques,919,941,PROC
PROC,0.64308465,tomoden­ sitométrie axiale,954,981,PROC
ANAT,0.593995,cérébrale,981,991,ANAT
DISO,0.9582165,imageries,1005,1015,PROC
ANAT_DISO,0.64839417,cérébrales,1015,1026,ANAT_PROC
PROC,0.41372555,résonance magnétique,1030,1051,PROC
PROC,0.8245752,tests microbiologiques,1058,1081,PROC
LIVB,0.40838134,médecins,1096,1105,LIVB
PROC,0.9444861,diagnostic,1117,1128,DISO
DISO,0.9501487,toxoplasmose,1131,1144,DISO
ANAT_DISO,0.5344562,cérébrale,1144,1154,ANAT_DISO
DISO,0.97778153,œdème,1168,1174,DISO
ANAT_DISO,0.57014173,cérébral,1174,1183,ANAT_DISO
PROC,0.8752293,analyses,1207,1216,PROC
DISO,0.6344027,VIH,1242,1246,DISO
DISO,0.3051805,VHC,1252,1256,DISO
