entity_group,score,word,start,end,correct_label
LIVB,0.7254266,homme âgé,27,37,LIVB
LIVB,0.7390866,61 ans,40,47,LIVB
LIVB,0.50588596,71 kg,49,54,ANAT
LIVB,0.38619238,172 cm,55,62,ANAT
DISO,0.32299298,masse,81,87,PHYS
ANAT,0.25946712,corporelle,87,98,PHYS
ANAT_DISO,0.22802454,2,111,112,PHEN
PROC,0.9780164,transplantation,130,146,PROC
ANAT_PROC,0.73269767,pulmonaire,146,157,ANAT_PROC
DISO,0.9497947,insuffisance,173,186,DISO
ANAT_DISO,0.7742198,respiratoire,186,199,ANAT_DISO
DISO,0.79380345,chronique,199,209,DISO
PROC,0.63568294,emphysème post-tabagique,223,248,DISO
PROC,0.947392,oxygénothérapie continue,254,279,PROC
PROC,0.30975565,1,281,282,PHEN
PROC,0.78136647,ventilation non invasive nocturne,292,326,PROC
DISO,0.87644,dyslipidémie,374,387,DISO
DISO,0.94608516,hypertension,392,405,DISO
ANAT_DISO,0.6097192,artérielle,405,416,ANAT_DISO
DISO,0.20490783,tabagisme,422,432,DISO
ANAT_DISO,0.4213459,cardiovasculaires,485,503,DISO
PROC,0.7855099,bilan préopératoire,508,528,PROC
DISO,0.9423183,hypertension,541,554,DISO
ANAT_DISO,0.69261557,artérielle pulmonaire,554,576,ANAT_DISO
ANAT_DISO,0.2764934,capillaire,597,607,ANAT_DISO
PROC,0.628422,ajout,623,628,PROC
CHEM,0.95029604,périndopril,631,643,CHEM
CHEM,0.8836404,2 mg,645,649,PHEN
CHEM,0.78308314,jour,653,658,PHEN
CHEM,0.9409391,furosémide,665,676,CHEM
CHEM,0.84495246,40 mg,678,683,PROC
CHEM,0.76895726,jour,687,692,PROC
PROC,0.680727,mise,697,702,PROC
PROC,0.6676903,évidence,705,714,PROC
PROC,0.57437724,Elispot,719,727,PROC
CHEM,0.30762786,enzyme,729,735,CHEM
PROC,0.21678627,-,735,736,CHEM
PROC,0.36218658,immunospot,742,753,CHEM
DISO,0.8823283,tuberculose,770,782,DISO
PROC,0.94964576,traitement prophylactique,811,837,PROC
CHEM,0.9092914,association rifampicine-isoniazide,844,878,CHEM
CHEM,0.8545958,600-300 mg,880,890,PROC
CHEM,0.831328,jour,894,899,PROC
DISO,0.36594272,bilan préopératoire,950,970,PROC
LIVB,0.91333205,patient,974,982,LIVB
CHEM,0.4280127,’,996,997,OBJC
PROC,0.94112873,transplantation,1000,1016,PROC
DISO,0.41745687,mono-,1016,1022,PROC
ANAT_DISO,0.41959143,pulmonaire gauche,1022,1039,ANAT_PROC
DISO,0.811756,dysfonction,1044,1056,DISO
ANAT_DISO,0.37835422,greffon,1068,1076,ANAT_DISO
CHEM,0.36883807,receveur,1097,1106,LIVB
DISO,0.73677677,cytomegal,1164,1174,LIVB
LIVB,0.35220104,ovirus,1174,1180,LIVB
LIVB,0.4266786,CMV,1182,1185,LIVB
LIVB,0.6764872,Epstein Barr Virus,1189,1208,LIVB
LIVB,0.5172352,EBV,1210,1213,LIVB
DISO,0.51902807,sérologie,1219,1229,PHEN
DISO,0.76128966,toxoplasmose,1244,1257,DISO
PROC,0.29699203,receveur,1299,1308,LIVB
PROC,0.8416826,traitement immunosuppresseur,1312,1341,PROC
PROC,0.8875103,induction,1344,1353,PROC
CHEM,0.43636405,méthylprednisolone,1366,1385,CHEM
CHEM,0.60936344,500 mg,1387,1393,PROC
CHEM,0.62272316,jour 0,1395,1402,PROC
CHEM,0.49855727,375 mg,1405,1412,PROC
DISO,0.25400653,+,1420,1421,PROC
PROC,0.86162674,transplantation,1428,1443,PROC
CHEM,0.37301588,bas,1450,1454,CHEM
LIVB,0.45772207,ili,1454,1457,CHEM
CHEM,0.6769984,ximab,1457,1462,CHEM
CHEM,0.5284693,anticorps monoclonal,1463,1484,CHEM
CHEM,0.9053543,interleukine-2,1501,1515,CHEM
CHEM,0.7346561,20 mg,1517,1522,PROC
CHEM,0.52023494,jour,1524,1529,PROC
DISO,0.33504364,0,1529,1531,PROC
PROC,0.8296947,posttransplantation,1542,1562,PROC
DISO,0.23362422,+2,1581,1584,PROC
PROC,0.4335733,post,1584,1589,PROC
PROC,0.91983914,transplantation,1590,1605,PROC
PROC,0.53837454,immunosuppression,1609,1626,PROC
PROC,0.5003239,trithérapie,1650,1662,PROC
PROC,0.45246276,voie orale,1666,1677,PROC
CHEM,0.8729283,tacrolimus,1691,1702,CHEM
CHEM,0.6566582,posologie initiale,1708,1727,PHEN
CHEM,0.91414225,5 mg,1730,1735,PROC
CHEM,0.8511908,jour,1739,1744,PROC
CHEM,0.86336,mofétil mycophénolate,1748,1770,CHEM
CHEM,0.8314839,MMF,1772,1775,CHEM
CHEM,0.6769357,2000 mg,1776,1784,PROC
CHEM,0.74358445,jour,1788,1793,PROC
CHEM,0.8927056,prednisone 20 mg,1799,1816,CHEM
CHEM,0.66893464,jour,1820,1825,PROC
PROC,0.7015419,traitements associés,1830,1851,PROC
PROC,0.8131416,5 posttransplantation,1937,1958,PHEN
DISO,0.89907724,dégradation,1965,1977,DISO
ANAT_DISO,0.7777961,respiratoire,1977,1990,DISO
DISO,0.91696936,œdème,1994,2000,ANAT
ANAT_DISO,0.64845866,pulmonaire gauche,2000,2018,ANAT
PROC,0.5725433,reperfusion,2021,2033,PROC
ANAT_DISO,0.3654136,cardiogénique,2062,2076,ANAT_DISO
DISO,0.8023366,rejet aigu,2080,2091,DISO
DISO,0.5958419,infiltrats,2131,2141,ANAT
ANAT_DISO,0.5514896,lymphocytaires,2141,2156,ANAT
PROC,0.775068,biopsies transb,2160,2176,PROC
ANAT_PROC,0.6694217,ronchiques,2176,2186,ANAT_PROC
PROC,0.8751499,anatomopathologie,2209,2226,PROC
PROC,0.85143036,traitement intraveineux,2230,2254,PROC
CHEM,0.9183493,méthylprednisolone,2258,2277,CHEM
CHEM,0.5428662,1000 mg,2279,2286,PROC
CHEM,0.7748463,"jour 1, 500 mg",2289,2304,PROC
CHEM,0.7707412,"jour 2, 250 mg",2307,2322,PROC
CHEM,0.52081156,jour,2325,2330,PROC
PROC,0.7472727,décroissance,2337,2350,PROC
PROC,0.6842575,voie orale,2366,2377,PROC
CHEM,0.74268246,posologie,2383,2393,PHEN
CHEM,0.9162595,prednisone,2396,2407,CHEM
