entity_group,score,word,start,end
PROC,0.32158613,Madame H,0,8
PROC,0.4053977,ans,13,17
DISO,0.52632403,ans,37,41
DISO,0.9374222,carcinome,50,60
ANAT_DISO,0.8158307,col utérin,63,74
ANAT_DISO,0.38448,T2,80,83
LIVB,0.41560203,a,83,84
LIVB,0.24605383,0,86,87
PROC,0.9735884,traitement,94,105
PROC,0.9267285,radiochimiothérapie concomitante,109,142
PROC,0.96821856,hystérectomie totale,151,172
PROC,0.94276446,annexectomie,177,190
PROC,0.97960484,lymphadénectomie,204,221
ANAT_PROC,0.4702098,pelvienne,221,231
PROC,0.8379011,ombo-,236,241
ANAT_PROC,0.34929442,aor,241,244
PROC,0.9291501,tique,244,249
DISO,0.9319048,tumeur,270,277
ANAT_DISO,0.8651786,paroi pelvienne,307,323
ANAT_DISO,0.57155836,tiers inférieur,329,345
ANAT_DISO,0.74094033,vagin,348,354
LIVB,0.7471369,patiente,359,368
PROC,0.75781333,an,376,379
DISO,0.9056136,récidive,393,402
ANAT_DISO,0.8295631,pelvienne,409,419
DISO,0.8421931,urétérohydronéphrose,424,445
ANAT_DISO,0.8274516,droite,445,452
DISO,0.96930176,métastases,455,466
ANAT_DISO,0.8953386,pulmonaires,466,478
PROC,0.93642086,chimiothérapie,505,520
PROC,0.6481496,sonde de néphrostomie percutanée,546,579
ANAT_DISO,0.3151613,droite,579,586
DEVI,0.30850673,sonde JJ,597,606
PROC,0.48227304,par voie antégrade,606,625
DEVI,0.24906643,sonde,648,654
ANAT_PROC,0.2501378,JJ,654,657
LIVB,0.39323473,an,699,702
PROC,0.9193028,traitement,706,717
PROC,0.85877836,stabilisation,729,743
DISO,0.9426069,maladie,749,757
PROC,0.5107587,changement,771,782
ANAT_PROC,0.17763895,sonde,785,791
LIVB,0.8631732,patiente,829,838
DISO,0.8374517,Karnofski,853,863
DISO,0.97763014,cystites,896,905
DISO,0.9116855,hématurie macroscopique,937,961
PROC,0.5595566,traitement anti,986,1002
CHEM,0.43995,septique,1002,1010
DISO,0.32756335,urinaire,1010,1019
PROC,0.5135263,prescrit,1025,1034
LIVB,0.773734,Madame H,1036,1045
PROC,0.68841535,hospit,1052,1059
PROC,0.73411,urgence,1068,1076
DISO,0.9364749,hématurie,1085,1095
DISO,0.7156586,caillotage vés,1128,1143
ANAT_DISO,0.6028906,ical,1143,1147
DISO,0.79113793,lombalgies droites,1150,1169
DISO,0.8989253,syndrome septique,1185,1203
DISO,0.5719577,dég,1217,1221
PROC,0.5400968,lob,1221,1224
DISO,0.5534305,ul,1224,1226
PROC,0.6136332,isation,1226,1233
PROC,0.87792003,réanimation médicale,1263,1284
PROC,0.9801871,transfusion,1298,1310
PROC,0.80107737,culots glob,1320,1332
PROC,0.87094086,antibiothérapie parentérale,1346,1374
PROC,0.7786464,tomodensitométrie abdominopelvienne,1395,1431
DISO,0.60061985,caillotage,1457,1468
ANAT_DISO,0.6833005,voie excrétrice,1474,1490
DISO,0.4845532,dilatation,1502,1513
DISO,0.29538324,cavités,1517,1525
ANAT_DISO,0.6609218,rénales droites,1525,1541
DISO,0.8297524,cystite emphysémateuse,1548,1571
PROC,0.6088431,urgence,1587,1595
PROC,0.97200316,ablation,1620,1628
DEVI,0.2242801,sonde,1634,1640
PROC,0.44894254,double J,1640,1649
PROC,0.69145507,UPR,1664,1668
DISO,0.7553446,caillotage,1686,1697
ANAT_DISO,0.73564696,voie excrétrice droite,1703,1726
DISO,0.75190973,vasation,1738,1746
CHEM,0.77045447,produit de contraste,1749,1770
PROC,0.2688426,sonde,1775,1781
ANAT_PROC,0.3904574,urétérale,1781,1791
DISO,0.8867264,saignement,1820,1831
DISO,0.65717703,récidive hématurique,1877,1898
PROC,0.83049226,aortoartériographie,1937,1957
ANAT,0.70111644,centimètre,1978,1989
ANAT_DISO,0.5353853,artère iliaque externe droite,2011,2040
DISO,0.94282913,fuite,2045,2051
CHEM,0.8431025,produit de contraste,2054,2075
DISO,0.7334129,lésion pseudo,2091,2105
DISO,0.5452767,anévrys,2106,2113
ANAT_DISO,0.54543346,male,2113,2117
DISO,0.9100081,lésion,2135,2142
DISO,0.8598973,uretère,2172,2179
ANAT_DISO,0.828899,droit,2179,2185
PROC,0.5551077,stent endovasculaire,2189,2210
PROC,0.7501173,Hémobahn®,2226,2236
PROC,0.6937412,an,2289,2291
DISO,0.7490691,évrysme,2291,2298
ANAT_DISO,0.6062886,artère iliaque interne droite,2304,2333
PROC,0.5734729,stopper,2349,2357
DISO,0.9193258,hématurie,2360,2369
