entity_group,score,word,start,end
LIVB,0.9662181,femme,3,9
LIVB,0.97706354,29 ans,12,19
DISO,0.7574251,agression sexuelle,34,52
PROC,0.6298313,prélèvements,57,70
ANAT,0.39632958,sérum,73,79
ANAT,0.58383477,urine,85,90
CHEM,0.6675286,alcool,130,136
CHEM,0.37212613,G,160,162
ANAT,0.39558554,HB,162,164
CHEM,0.4876762,alcool,169,175
LIVB,0.2636052,T,199,201
CHEM,0.23746952,H C - C O O H,201,215
ANAT,0.6725468,sérum,236,242
CHEM,0.4170696,"22,",253,257
CHEM,0.5588767,ng/ml,258,264
CHEM,0.8417537,THC,283,287
CHEM,0.39038467,GHB,292,296
ANAT,0.6876749,urine,317,322
CHEM,0.41955474,ug/ml,335,341
DISO,0.6876905,metabolites,399,411
CHEM,0.9315602,propoxyphene,414,427
ANAT,0.8006968,urines,451,458
CHEM,0.90526617,caféine,475,483
CHEM,0.9177696,cotinine,492,501
PROC,0.8884236,recherches,507,518
CHEM,0.85903496,produits,533,542
DISO,0.43648446,soumission,561,572
