entity_group,score,word,start,end
LIVB,0.63113075,Homme,0,5
LIVB,0.77589583,28 ans,8,15
LIVB,0.31162414,a,45,46
LIVB,0.45945418,sujet,224,230
PROC,0.64056015,prélèvement sanguin intra,256,282
ANAT_PROC,0.52686006,cardiaque,282,291
CHEM,0.7686716,alcool,307,313
DISO,0.48173425,émie,313,317
PROC,0.27256402,CPG/F,322,328
PROC,0.9065226,recherche,348,358
CHEM,0.8549508,dérivés cannabinoïdes,361,383
PROC,0.9657573,immunoenzymologie,387,405
CHEM,0.63182,ng/ml,422,428
PROC,0.88066757,screening,434,444
CHEM,0.4233036,CLHP/BD,462,470
CHEM,0.72304344,kavalactones,519,532
CHEM,0.7154083,agresseurs,542,553
CHEM,0.9006383,alcool,570,577
DISO,0.3416599,émie,577,581
CHEM,0.35671636,g,597,599
