entity_group,score,word,start,end
DISO,0.44260287,ne,3,5
LIVB,0.95400655,homme,5,11
LIVB,0.951686,20 ans,14,21
DISO,0.9739136,douleurs,38,47
ANAT_DISO,0.37958488,hypog,47,53
DISO,0.50628215,ast,53,56
ANAT_DISO,0.44464007,riques,56,62
DISO,0.97898406,pollakiurie,104,116
DISO,0.72752094,impériosité,142,154
ANAT_DISO,0.5284412,mictionnelle,154,167
PROC,0.6981956,examen clinique,172,187
DISO,0.5381972,masse,206,212
ANAT_DISO,0.6047747,hypogastrique,212,226
PROC,0.81306136,examen cytobactéri,233,251
ANAT_DISO,0.58423936,urines,264,271
PROC,0.8930074,échographie,289,300
PROC,0.91786516,tomodensitométrie,306,324
PROC,0.6485455,Fig,326,329
DISO,0.7135255,ures,329,333
DISO,0.4620208,formation liqu,370,385
ANAT_DISO,0.57170933,idienne,385,392
ANAT_DISO,0.564172,icale,400,405
ANAT,0.37308228,diamètre,429,438
PROC,0.5965232,injection de PDC,465,482
DISO,0.94102305,kyste,501,507
DISO,0.5229727,l’,510,513
ANAT_DISO,0.6582896,ouraque,513,520
LIVB,0.9241471,patient,539,547
PROC,0.5746947,opéré,553,559
DISO,0.96035063,kyste,577,583
DISO,0.82093656,l’,586,589
ANAT_DISO,0.5809916,ouraque,589,596
ANAT_DISO,0.34926063,diamètre,607,616
PROC,0.8240291,excision totale,621,637
ANAT_DISO,0.49381867,ouraque,643,650
ANAT_DISO,0.61804396,péritoine,654,664
ANAT_DISO,0.6761696,regard,667,674
PROC,0.96855116,ablation,681,689
DISO,0.84320307,collerette,695,706
DISO,0.8609254,dôme vés,709,718
ANAT_DISO,0.6469613,ical,718,722
PROC,0.70823544,histologie,786,796
PROC,0.5477115,diagnostic,810,821
DISO,0.5407818,signe,848,854
DISO,0.8917273,malignité,857,867
