entity_group,score,word,start,end
LIVB,0.9486241,femme,15,21
LIVB,0.81062186,51 ans,24,31
DISO,0.6214792,accident,45,54
DISO,0.9268831,hématurie,153,163
DISO,0.8834255,fracture,170,179
ANAT_DISO,0.60168177,branche ischio,185,200
ANAT_DISO,0.5872226,pubienne,209,217
PROC,0.92562824,échographie,245,256
ANAT_PROC,0.3736983,abdominale,256,267
DISO,0.8254281,épanchement,286,297
ANAT_DISO,0.52543986,itoné,307,312
ANAT,0.41721478,al,312,314
ANAT_DISO,0.52489424,neurologique,346,359
LIVB,0.87769175,patiente,379,388
PROC,0.5135709,transf,392,399
PROC,0.8895973,réanimation,406,418
DISO,0.9526768,hématurie,435,444
ANAT,0.6924584,abdomen,459,466
PROC,0.5746862,TDM,482,486
ANAT,0.3175235,crân,486,491
ANAT_DISO,0.3622439,ienne,491,496
PROC,0.7068129,TDM,518,522
ANAT,0.4204371,abdomino-pelvienne,522,541
ANAT_DISO,0.37367308,ur,567,570
DISO,0.9088788,hématome,572,580
ANAT_DISO,0.4630802,rétro,580,586
ANAT_DISO,0.23814864,al,603,605
DISO,0.77410096,dilatation,610,621
ANAT_DISO,0.5339401,cavités,625,633
ANAT_DISO,0.47624376,rein,636,641
ANAT,0.52462256,droit,641,647
PROC,0.5404444,sonde,652,658
PROC,0.60015225,courant,665,673
PROC,0.8703439,lavage,678,685
ANAT_DISO,0.4069813,vésical,685,693
PROC,0.7080533,artériographie aorto-,717,739
ANAT,0.2668109,ili,739,742
ANAT_DISO,0.29695854,aque,742,746
PROC,0.96296895,embolisation,751,764
DISO,0.32463577,branche,770,778
ANAT,0.52760184,artère,784,790
DISO,0.6342015,udend,792,797
ANAT_DISO,0.5855989,ale,797,800
PROC,0.86093104,stabilisation,820,834
PROC,0.9498098,hémodynamique,848,861
PROC,0.95860064,geste,872,878
LIVB,0.8836563,patiente,881,890
DISO,0.8682966,anurie,904,911
PROC,0.87212634,examen endoscopique,952,971
PROC,0.8910191,désinsertion,995,1008
DISO,0.73583484,urè,1023,1026
PROC,0.57975113,thre,1026,1030
PROC,0.26271528,col,1045,1049
ANAT_DISO,0.5366415,vésical,1049,1057
ANAT_DISO,0.44631806,vessie,1061,1068
DISO,0.9080339,ymphyse,1106,1113
ANAT_DISO,0.7221478,pubienne,1113,1122
DISO,0.43455404,sondes,1155,1162
ANAT_DISO,0.80983925,urétérales,1162,1173
DISO,0.4301866,sonde,1178,1184
ANAT_DISO,0.805573,vésicale,1184,1193
PROC,0.91491205,néphrostomie percutanée,1223,1247
DISO,0.80788034,insuffisance,1273,1285
ANAT_DISO,0.7870736,rénale,1285,1292
DISO,0.37714237,diurèse,1319,1327
LIVB,0.974754,patiente,1347,1356
PROC,0.8656825,hémodialysée,1360,1373
DISO,0.8653705,syndrome septique,1398,1416
DISO,0.7813398,choc,1431,1436
PROC,0.9126249,réanimation,1443,1455
LIVB,0.8762722,patiente,1458,1467
PROC,0.8108865,opérée,1471,1478
PROC,0.8233843,laparotomie,1495,1507
ANAT,0.49704558,ombilicale,1520,1531
ANAT_DISO,0.38141018,péritonéale,1537,1548
DISO,0.9198551,hématome,1552,1560
DISO,0.7922638,Retzius,1563,1571
DISO,0.931456,collection,1577,1588
ANAT_DISO,0.6353159,rétropéritonéale droite,1588,1612
PROC,0.5187283,drain,1619,1625
DISO,0.96663433,brèche,1661,1668
ANAT,0.54293275,face antérieure,1680,1696
ANAT_DISO,0.56042933,vessie,1702,1709
ANAT,0.41698024,col vésical,1720,1732
PROC,0.40892902,urèthre,1756,1763
PROC,0.73426974,sutures,1780,1788
ANAT_PROC,0.25675058,urinaire,1802,1811
ANAT_PROC,0.39902866,sonde vésicale,1837,1852
PROC,0.6958934,suites opératoires,1857,1876
PROC,0.48001093,apyrexie,1896,1905
PROC,0.87087494,récupération,1908,1921
PHYS,0.65646875,fonction,1940,1949
ANAT_DISO,0.43874156,rénale,1949,1956
PROC,0.5541736,néphrostomie,1960,1973
ANAT_PROC,0.3720129,sonde vésicale,2004,2019
LIVB,0.92182416,patiente,2037,2046
PROC,0.8086743,Revue,2089,2095
PROC,0.8905095,consultation,2098,2111
LIVB,0.9068488,patiente,2131,2140
DISO,0.70970243,plainte,2155,2163
ANAT_DISO,0.4323002,urologique,2163,2174
PROC,0.8651101,contrôle radiologique,2178,2200
LIVB,0.980573,patiente,2255,2264
DISO,0.8432341,fuites,2302,2309
ANAT_DISO,0.44001338,urinaires,2309,2319
DISO,0.73823696,osités,2333,2339
