entity_group,score,word,start,end
LIVB,0.6212745,Madame W,0,8
LIVB,0.84453905,37 ans,9,16
DISO,0.5566967,G2P,17,21
DISO,0.9636196,incontinence,39,51
ANAT_DISO,0.6281104,urinaire,51,60
DISO,0.66337824,effort,63,69
PROC,0.7206241,examen clinique,86,101
PROC,0.5856907,manœuvre,110,119
ANAT_PROC,0.36011678,urètre,140,146
PROC,0.8659887,bilan urodynamique,159,178
PROC,0.8483151,sphincter normotonique,190,213
ANAT,0.39751437,vessie,220,227
PROC,0.31669685,BSU rétropub,240,253
ANAT_PROC,0.3419701,ienne,253,258
PROC,0.51830477,TVT®,266,271
PROC,0.8740381,anesthésie locale,296,314
PROC,0.21737169,N,318,320
LIVB,0.205964,ar,320,322
CHEM,0.26081556,opeine,322,328
PROC,0.9757686,diazanalgésie,344,358
PROC,0.31421605,chirurgien,362,373
ANAT_PROC,0.31084752,CS,375,377
PROC,0.34045687,128è BSU,392,401
PROC,0.55519605,TVT®,409,414
PROC,0.36423314,mandrin,450,458
ANAT_PROC,0.23074251,sonde,461,467
ANAT,0.58311003,poignées ancillaires,510,531
PROC,0.9551347,cystoscopie per-opératoire,535,562
DISO,0.95676607,saignement,636,647
DISO,0.96422213,plaies,662,669
ANAT_DISO,0.8489347,vaginales,669,679
DISO,0.56674683,suspub,682,689
ANAT_DISO,0.6337198,iennes,689,695
PROC,0.8461102,surveillance post-opératoire,709,738
LIVB,0.9632444,patiente,742,751
DISO,0.97549033,douleurs,766,775
ANAT_DISO,0.4443442,pelviennes,775,786
CHEM,0.48092273,g,814,815
DISO,0.5635606,d,818,820
CHEM,0.7263973,hémoglobine,821,832
DISO,0.39997327,sonde,836,842
ANAT,0.38068214,vésicale,842,851
PROC,0.94853663,hémostase,887,897
DISO,0.90726995,compression,901,913
ANAT_DISO,0.82592136,vésicale,913,922
PROC,0.96549636,échographie,928,940
DISO,0.9300273,collection,973,984
ANAT,0.563799,psoas droit,995,1007
DISO,0.8999808,igures,1032,1038
DISO,0.9547862,hématome,1051,1060
LIVB,0.8440827,patiente,1117,1126
LIVB,0.94668263,patiente,1211,1220
PROC,0.88614416,traitement martial intraveineux,1244,1276
PROC,0.87412226,Veinofer®,1278,1287
PROC,0.3765829,per os,1291,1298
PROC,0.8572209,surveillance clinique,1308,1330
PROC,0.5194597,échographique,1345,1359
LIVB,0.7929696,patiente,1363,1372
