entity_group,score,word,start,end
LIVB,0.5847158,Monsieur X,0,10
LIVB,0.72426283,ans,14,18
DISO,0.8025868,infertilité,47,58
DISO,0.6318785,antécédents,86,97
PROC,0.8880112,examen clinique,132,147
LIVB,0.76707184,patient,161,169
ANAT_PROC,0.5824169,testicules,190,201
PROC,0.5617543,es épididymo,246,258
DISO,0.6662156,déférentielles,259,273
PROC,0.91059405,bilan,298,304
ANAT,0.36127275,spermogrammes,335,349
ANAT,0.28071645,inale,368,373
PROC,0.9552957,bilan,376,382
ANAT_PROC,0.59987515,endocrinien,382,394
PROC,0.44063532,test,396,400
CHEM,0.7335943,ostérone,400,408
CHEM,0.8186457,FSH,411,415
PROC,0.64486325,échographie uro-,434,451
ANAT,0.4752583,gén,451,454
ANAT_PROC,0.506306,itale,454,459
ANAT,0.5056295,volumes testiculaires,483,505
DISO,0.6876545,empâté,533,540
DISO,0.35565406,tubulaire,543,553
ANAT,0.70706373,corps,556,562
ANAT,0.66991186,queue,571,577
DISO,0.5958079,épididyme,583,592
ANAT,0.3565645,gauche,592,599
DISO,0.87268466,dilatation,608,619
ANAT_DISO,0.49590436,vésicule séminale,625,643
ANAT,0.66509336,canal éjaculateur gauches,649,675
DISO,0.63921326,Figures,677,684
LIVB,0.7055429,bis,691,694
PROC,0.876734,IRM,702,705
ANAT,0.48979074,prostate,708,717
ANAT_DISO,0.47828126,voies séminales,724,740
DISO,0.45873386,ant,759,763
ANAT,0.37582314,enne,763,767
DISO,0.43957332,externe,767,775
PROC,0.8579062,résolution,784,795
ANAT_DISO,0.42614543,voies séminales droites,828,852
PROC,0.6303404,détection,879,889
DISO,0.5806914,portion pelvienne,895,913
DISO,0.9424555,déférent,916,925
DISO,0.7525337,anomalies du,932,945
ANAT,0.5810122,carrefour,945,955
ANAT_DISO,0.29655898,vésicul,955,963
DISO,0.6668055,déférentiel,965,976
ANAT,0.4850502,vésicule séminale,1004,1022
DISO,0.7035357,épaississement,1036,1051
ANAT,0.48843452,parois,1058,1065
DISO,0.7955598,Figures 2,1067,1076
DISO,0.5114019,3,1079,1081
PROC,0.53355145,bilan,1100,1106
ANAT,0.3891332,appareil urinaire,1128,1146
PROC,0.90102726,imagerie,1201,1209
PROC,0.5003564,analyse,1214,1222
PROC,0.552326,recherche,1267,1277
DISO,0.9289221,mutation,1280,1289
DISO,0.46892422,gène CFTR,1292,1302
DISO,0.9452541,mutations,1330,1340
DISO,0.6284312,DF50,1354,1358
DISO,0.45973402,V9,1360,1362
DISO,0.9607241,mutations,1423,1433
DISO,0.30579478,gène CFTR,1436,1446
DISO,0.9231723,hétérozygotie,1463,1476
ANAT,0.30866438,spermogramme,1494,1507
DISO,0.9516469,agénésie,1521,1530
DISO,0.85408074,déférentielle,1542,1556
ANAT,0.64786875,portion pelvienne,1571,1589
