entity_group,score,word,start,end
LIVB,0.6782378,Mme M,0,5
DISO,0.7817483,Ba J,5,10
LIVB,0.3543744,ans,22,26
PROC,0.80467075,prise,123,129
PROC,0.77774405,charge,132,139
DISO,0.8730592,incontinence urinaire,145,167
DISO,0.5476165,effort,170,176
DISO,0.9731093,troubles,205,214
DISO,0.49952888,la marche,217,227
DISO,0.9748454,brûlures,233,242
DISO,0.63388044,vi,246,248
DISO,0.48122704,inéales,252,259
DISO,0.9569459,maladie,275,283
DISO,0.94237715,difficultés,310,322
ANAT_DISO,0.42312884,marche,328,335
DISO,0.9435342,impotence,382,392
ANAT_DISO,0.5887457,membres inférieurs,423,442
PROC,0.84322387,consultation,447,460
PROC,0.76829106,bilan,496,502
DISO,0.76477146,paraplégie flas,524,540
ANAT_DISO,0.5718729,que,540,543
PHYS,0.69557077,force,552,558
ANAT_DISO,0.29762542,musculaire,558,569
ANAT_DISO,0.48413426,membres inférieurs,582,601
DISO,0.8730068,Babinski,615,624
PROC,0.96424174,anesthésie,640,651
ANAT,0.5538918,selle,654,660
ANAT_DISO,0.56329435,région pubienne,669,685
ANAT_DISO,0.44063517,péri,688,693
ANAT_DISO,0.3012333,v,694,695
DISO,0.6242357,ul,695,697
ANAT_DISO,0.4891559,vaire,697,702
DISO,0.9240588,fuites urinaires,709,726
PROC,0.6092251,imagerie par Résonnance Magn,730,758
ANAT_PROC,0.43888155,étique médullaire,758,775
PROC,0.46352112,bilan biologique,781,798
DISO,0.5874687,élé,823,826
PROC,0.49982613,c,826,827
DISO,0.72974867,troneuromy,827,837
PROC,0.44814238,ogramme,837,844
DISO,0.7298066,plexopathie lomb,866,883
PROC,0.45200738,osacrée,883,890
DISO,0.49266565,diagnostic,894,905
DISO,0.969248,myéloradiculite,911,927
LIVB,0.5824181,patiente,946,955
PROC,0.97640675,traitement,965,976
DISO,0.64892006,amélioration,993,1006
DISO,0.5257589,tableau,1009,1017
ANAT_PROC,0.16701946,marche,1052,1059
DISO,0.8786163,fuites urinaires,1083,1100
DISO,0.9835652,dysurie,1116,1124
DISO,0.7760473,douleurs neuropathiques pelvi,1131,1161
ANAT_DISO,0.36707917,ales,1168,1172
PROC,0.48148152,consultation,1187,1200
PROC,0.97111106,prise,1281,1287
PROC,0.95940965,charge,1290,1297
PROC,0.898548,examen,1303,1309
DISO,0.68201673,hypoesthésie,1323,1336
ANAT_DISO,0.30646703,elle,1341,1345
ANAT,0.5584594,région pelvi-pér,1354,1371
ANAT,0.33306625,ale,1374,1377
DISO,0.9336376,déficit,1382,1390
ANAT_DISO,0.51867193,muscles élévateurs,1394,1413
PHYS,0.40422463,force,1422,1428
ANAT_DISO,0.44639692,musculaire,1428,1439
DISO,0.7573722,mictionnel,1468,1479
PROC,0.40062943,déf,1485,1489
DISO,0.47516698,éc,1489,1491
PROC,0.735133,ation,1491,1496
DISO,0.7485088,incontinence anale,1501,1520
DISO,0.80426586,selles liquides,1536,1552
PROC,0.95745164,examen,1556,1562
ANAT_DISO,0.4433539,urogénital,1562,1573
DISO,0.8575908,illie,1589,1594
ANAT,0.35360208,partie antérieure,1600,1618
PROC,0.5577949,de,1618,1621
DISO,0.65290993,vulve,1624,1630
DISO,0.91189003,expansive,1631,1641
DISO,0.9103317,vulve,1652,1658
DISO,0.941075,toux,1664,1669
DISO,0.6228721,efforts,1676,1684
DISO,0.73378474,poussée,1687,1695
DISO,0.89868075,fuites d’,1706,1716
ANAT_DISO,0.548135,urine,1716,1721
PHYS,0.27518156,marche,1725,1732
DISO,0.5237111,ait,1735,1738
PROC,0.7023901,bilan biologique,1762,1779
DISO,0.94342226,hyperleucocytose,1795,1812
ANAT,0.3246958,neutroph,1827,1836
ANAT_DISO,0.4218585,ile,1836,1839
PHYS,0.6774299,vitesse,1865,1873
PHYS,0.4176794,sédimentation,1876,1890
CHEM,0.72184193,C-Réactive protéine,1899,1919
PROC,0.7311722,sérologie,1923,1933
ANAT_PROC,0.29566327,rétro,1933,1939
ANAT_DISO,0.37567437,virale,1939,1945
PROC,0.5256371,examen cytob,1964,1976
DISO,0.24190591,actéri,1976,1982
ANAT_DISO,0.7018099,urines,1994,2001
LIVB,0.5609158,Echéricha,2009,2019
DISO,0.39394152,Coli,2019,2024
CHEM,0.931665,céfixime,2038,2047
LIVB,0.48555183,patiente,2054,2063
CHEM,0.92448425,cefixime 200 mg,2076,2092
CHEM,0.85150564,’amitriptyline 25 mg,2134,2154
CHEM,0.4994088,jour,2158,2163
PROC,0.9002541,séances,2198,2206
PROC,0.80423903,renforcement,2209,2222
ANAT,0.52939,muscles périné,2226,2241
ANAT_DISO,0.50606567,aux,2241,2244
PROC,0.86900824,travail,2250,2258
DISO,0.69355786,sensibilités,2262,2275
DISO,0.64053106,dermatomes,2283,2294
ANAT_DISO,0.60187423,sacrés,2294,2301
DISO,0.43786076,v,2332,2334
