entity_group,score,word,start,end
DISO,0.846972,symptomatologie,95,111
DISO,0.89114577,céphalées,120,130
DISO,0.8056627,fatigue,131,139
DISO,0.8532482,acouphènes,142,153
DISO,0.9523133,hypertension,176,189
ANAT_DISO,0.61582863,artérielle,189,200
DISO,0.87436026,HTA,235,239
PROC,0.88878095,examen clinique,265,280
DISO,0.9407931,HTA,297,301
ANAT_DISO,0.3031529,di,310,312
ANAT,0.35131115,cm,338,341
PROC,0.70791835,auscultation,347,359
ANAT_DISO,0.6205468,cardiaque,359,369
ANAT_PROC,0.2702132,ECG,387,390
DISO,0.9680197,hypertrophie,407,420
ANAT_DISO,0.7301419,ventricule gauche,423,441
PROC,0.6409924,bilan biologique,445,462
PHYS,0.35644293,fonction,479,488
ANAT,0.2999025,rénale,488,495
DISO,0.96446,hypokaliémie,508,521
DISO,0.33860743,3.2 mmol,523,532
DISO,0.40113556,k,543,545
CHEM,0.34420854,ali,545,548
DISO,0.43246865,urèse,548,553
CHEM,0.36706954,mmol,568,572
DISO,0.87091327,HTA,597,600
DISO,0.96681744,hypokaliémie,615,628
DISO,0.9021047,hyperaldostéronisme primaire,632,660
DISO,0.5367199,taux d'aldostérone,692,711
CHEM,0.5490139,pmol/l,732,739
DISO,0.35810366,normale,741,748
CHEM,0.59194916,pmol/l,756,763
ANAT,0.38269484,couchée,776,784
DISO,0.6270051,chutant,790,798
CHEM,0.60361874,pmol,804,808
PROC,0.8084685,orthostatisme,819,833
CHEM,0.5856762,pmol/l,859,865
DISO,0.22122902,rénine,870,877
ANAT,0.29601002,plasmatique,877,889
DISO,0.38339224,AR,891,893
LIVB,0.8107815,patient,922,930
PROC,0.55708224,admis,936,942
PROC,0.8365178,soins,954,960
PROC,0.93242925,perfusion,992,1002
DISO,0.9224489,aldostéronémie,1057,1071
PROC,0.8840726,exploration,1077,1089
PROC,0.95560884,échographie,1123,1134
ANAT_PROC,0.5743354,abdominale,1134,1145
DISO,0.55122715,anomalie,1167,1175
PROC,0.93147874,tomodensitométrie,1179,1197
ANAT_PROC,0.42048612,abdominale,1197,1208
DISO,0.97180563,masses,1237,1244
ANAT_DISO,0.6470313,surrénaliennes,1244,1259
DISO,0.91081303,hypodenses,1272,1283
ANAT,0.42225417,droite,1336,1343
PROC,0.80855757,opératoire,1396,1407
PROC,0.7941423,intervention,1440,1452
PROC,0.9657648,administration,1471,1485
CHEM,0.91907287,spironolactone,1488,1503
CHEM,0.8112999,75 mg/j,1515,1523
PROC,0.72994477,normalisation,1531,1545
DISO,0.7800887,chiffres tensionnels,1549,1570
PROC,0.9688748,abord,1591,1596
ANAT,0.41950312,transpéritoné,1596,1610
ANAT_DISO,0.46073604,al,1610,1612
PROC,0.80684453,incision bisous-costale,1621,1645
PROC,0.89541304,e xploration,1649,1661
ANAT_PROC,0.5139944,abdominale,1661,1672
DISO,0.6937422,tumeur encapsulée,1685,1703
ANAT,0.4336682,surrénale droite,1719,1736
DISO,0.9532303,nodule,1742,1749
ANAT_DISO,0.6265548,intrasurrénalien gauche,1749,1773
ANAT_DISO,0.7181099,surrénale,1796,1806
PROC,0.9488621,ctomie,1806,1812
ANAT_DISO,0.41001382,droite,1814,1821
PROC,0.7545844,énucléation,1828,1840
DISO,0.94981885,nodule,1843,1850
ANAT_DISO,0.6323214,gauche,1850,1857
PROC,0.7336706,opératoires,1870,1882
LIVB,0.85112476,patient,1902,1910
PROC,0.5918422,hospitalisé,1916,1928
PROC,0.969328,réanimation,1942,1954
PROC,0.9590818,corticothérapie,1974,1990
PROC,0.9610258,suppléance,1993,2004
PROC,0.8830636,pré,2006,2009
CHEM,0.7841414,dnisone 15 mg/j,2009,2024
PROC,0.75863904,examen anatomo-pathologique,2055,2082
PROC,0.65497214,opératoires,2093,2105
DISO,0.9699317,adénome,2121,2129
DISO,0.7369542,Conn,2132,2137
PROC,0.7199365,normalisation,2182,2196
DISO,0.758899,chiffres tensionnels,2200,2221
