entity_group,score,word,start,end
LIVB,0.52607244,ans,22,26
PROC,0.65910417,hospit,32,39
DISO,0.97577196,douleurs,87,96
ANAT_DISO,0.6583559,lombaires,96,106
DISO,0.69051826,anurie,121,128
PROC,0.78145057,traitement par,158,173
CHEM,0.9123249,Adiazine®,173,183
CHEM,0.95005745,Sulfadiazine,185,197
CHEM,0.81849325,Malocide®,201,211
CHEM,0.88324845,Pyriméthamine,213,226
DISO,0.57472616,toxoplasmose,269,282
ANAT_DISO,0.30449712,materno-fœtale,282,297
PROC,0.95718426,amniocentèse,311,324
PROC,0.7695594,bilan biologique,328,345
DISO,0.9533316,insuffisance,358,371
ANAT_DISO,0.87657297,rénale,371,378
DISO,0.49081987,créatin,380,387
CHEM,0.4003924,inémie,387,393
CHEM,0.58982587,μmol/l,397,404
CHEM,0.36030558,ée,408,410
CHEM,0.70819646,"19,2 mmol/l",411,422
PROC,0.3302561,échographie,427,438
ANAT_DISO,0.79944277,appareil urinaire,444,461
DISO,0.9826416,lithiases,485,495
ANAT_DISO,0.8458564,rénales,495,503
ANAT_DISO,0.5554309,urété,531,537
DISO,0.8315561,ro-hydronéphrose,537,553
DISO,0.9535985,bassinets,566,575
ANAT_DISO,0.4181004,u,596,598
ANAT,0.34879678,retères,598,605
ANAT,0.37029794,10 mm,607,613
ANAT,0.4971576,diamètre,616,625
PROC,0.5910196,EC,630,632
DISO,0.5944511,BU,632,634
DISO,0.97485423,leucocyturie,653,666
DISO,0.47803357,400 000,668,676
DISO,0.37758133,mm,677,679
DISO,0.8311298,hématurie microscopique,683,707
DISO,0.65050274,analyse,728,735
DISO,0.525473,culot,738,744
ANAT_DISO,0.5691804,urinaire,744,753
DISO,0.83409166,cristaux jaunâtres,766,785
DISO,0.9446813,gerbe,788,794
DISO,0.77961916,blé,797,801
PROC,0.9738584,réhydratation,813,827
PROC,0.78751564,traitement antalgique,833,855
DISO,0.9593339,douleurs,897,905
DISO,0.94567615,anurie,908,915
DISO,0.96876556,insuffisance,945,957
ANAT_DISO,0.83253247,rénale,957,964
DISO,0.9814512,souffrance,967,978
ANAT_DISO,0.62142986,fœtale,978,985
DISO,0.8738359,tachycardie,987,998
PROC,0.9693889,extraction,1028,1039
ANAT_PROC,0.55868864,fœtale,1039,1046
PROC,0.8941233,césarienne,1061,1072
DISO,0.43841088,Bishop,1125,1132
PROC,0.9841538,drainage,1150,1159
ANAT_PROC,0.64057624,rénale,1159,1166
PROC,0.77863085,montée,1170,1177
PROC,0.45566615,sondes double J,1180,1196
LIVB,0.92781425,enfant,1214,1221
LIVB,0.23665242,sexe,1224,1229
PROC,0.26649922,g,1250,1251
LIVB,0.8426607,Apgar 10,1252,1261
PROC,0.8728886,césarienne,1283,1294
PROC,0.98168886,cystoscopie,1312,1324
DISO,0.86502945,lithiases ocre,1337,1352
DISO,0.9366783,méats,1391,1397
ANAT_DISO,0.7361493,urétéraux,1397,1407
DISO,0.6865026,œdème,1423,1429
DISO,0.47551918,trigone,1432,1440
PROC,0.9419668,implantation,1444,1456
PROC,0.36792597,sondes double J,1460,1476
DISO,0.29036433,diurèse,1512,1520
DISO,0.9775195,syndrome,1525,1534
DISO,0.9157823,obstacle,1546,1554
PROC,0.9542545,normalisation,1557,1571
ANAT_PROC,0.24944992,fonction,1577,1586
ANAT_DISO,0.47561252,rénale,1586,1593
DISO,0.71730113,alcalinisation,1611,1626
ANAT_DISO,0.49750808,urinaire,1626,1635
CHEM,0.68130606,"pH > 7,5",1663,1672
PROC,0.8893911,post opératoire,1691,1707
CHEM,0.4504589,Al,1709,1711
PROC,0.44779986,caphor®,1711,1718
LIVB,0.59317523,patiente,1723,1732
PROC,0.93481266,consultation,1747,1760
DISO,0.52852637,asymptomatique,1783,1798
PROC,0.92272353,ECBU,1802,1806
DISO,0.97819924,leucocyturie,1817,1830
DISO,0.9507387,hématurie,1837,1847
DISO,0.9528506,cristallurie,1887,1900
PROC,0.9494835,échographie,1904,1915
PROC,0.89427644,contrôle,1918,1927
DISO,0.9589617,lithiase,1949,1958
ANAT_DISO,0.8856142,rénale,1958,1965
DEVI,0.33271122,sondes,1970,1977
PROC,0.5531313,double J,1977,1986
PROC,0.82074547,levées,1997,2003
PROC,0.91130745,examen clinique,2007,2022
PROC,0.9819074,ablation,2048,2057
DEVI,0.28618336,sondes,2061,2068
PROC,0.56198454,double J,2068,2077
