entity_group,score,word,start,end
LIVB,0.9511754,patiente,3,12
LIVB,0.59223866,69 ans,15,22
DISO,0.7524189,incontinence urinaire,83,105
DISO,0.861926,effort,108,114
PROC,0.7913198,examen clinique,163,178
ANAT,0.38657165,vessie,184,191
DISO,0.9510661,incontinence,217,230
DISO,0.58988106,effort,235,241
DISO,0.6110712,toux,244,249
DISO,0.8029506,hypermobilité,274,288
ANAT_DISO,0.3655157,urétrale,297,305
PROC,0.8869837,bilan urodynamique,309,328
ANAT_DISO,0.68580556,vessie,341,348
PROC,0.94145703,profilométrie,424,438
DISO,0.66128457,pression,460,469
DISO,0.451924,clôture,472,480
LIVB,0.6626009,âge,496,499
ANAT_PROC,0.19743532,bandelette,556,567
ANAT_PROC,0.28936812,urétrale,572,581
PROC,0.35628492,tension,586,594
CHEM,0.42500123,Tyco,631,636
ANAT,0.27324522,bandelette,641,652
ANAT,0.40931424,rétropubienne,673,687
ANAT,0.6561797,région,694,701
ANAT_DISO,0.49455824,cutanée,701,709
ANAT,0.3945828,supra,709,715
ANAT_DISO,0.41917807,pub,715,718
ANAT,0.4225914,ienne,718,723
ANAT,0.31855646,vagin,731,737
PROC,0.2705494,aiguille,753,762
CHEM,0.29780397,Stame,767,772
PROC,0.19118795,y,772,773
PROC,0.70094275,asepsie,802,809
PROC,0.3303002,biomatériaux,846,859
PROC,0.8642038,antibiothérapie,876,892
CHEM,0.45870075,2g,894,896
CHEM,0.5657335,kefandol,899,908
ANAT,0.37528494,bandelettes,929,941
PROC,0.93176717,cystoscopie peropératoire,945,971
ANAT_DISO,0.5748704,vésicale,994,1003
LIVB,0.91830057,patiente,1077,1086
PROC,0.45440155,hôpital,1098,1105
DISO,0.49085012,fonction mictionnelle,1120,1142
PROC,0.8706473,consultation post-opératoire,1163,1192
LIVB,0.97827566,patiente,1211,1220
CHEM,0.39230117,garniture,1253,1263
DISO,0.5437691,signe,1293,1299
PROC,0.9771489,opération,1331,1340
DISO,0.9214419,leucorrhées,1358,1370
DISO,0.8987037,fistule,1385,1393
ANAT_DISO,0.7961124,cutanée,1393,1401
DISO,0.89297557,abcès,1406,1412
DISO,0.8641722,Retzius,1427,1435
PROC,0.8999321,examen,1453,1459
ANAT_DISO,0.37271747,vaginal,1468,1476
DISO,0.73329616,érosion,1503,1510
ANAT_DISO,0.7997417,vaginale,1510,1519
PROC,0.9395585,traitement médical,1553,1572
PROC,0.9263107,antibiothérapie,1586,1602
CHEM,0.8886704,Oxacilline,1604,1614
CHEM,0.6265452,grammes,1618,1626
PROC,0.95692384,soins,1643,1649
ANAT,0.43598625,paroi,1652,1658
CHEM,0.85843337,Polyvidone iodée,1677,1694
PROC,0.29592842,bandelette,1699,1710
PROC,0.92933863,traction,1765,1774
PROC,0.49172857,-,1783,1784
PROC,0.9102065,mini-incision,1798,1812
LIVB,0.5220133,Pfannestiel,1815,1827
PROC,0.9615943,abord,1832,1838
ANAT_PROC,0.4448005,vaginal,1838,1846
PROC,0.9129465,cystoscopie per-opératoire,1851,1878
DISO,0.8342154,migration,1892,1902
ANAT_DISO,0.39023536,trale,1941,1946
PROC,0.83963823,prélèvements per-opératoires,1952,1981
LIVB,0.586041,Staphylocoque doré Meti-S,2004,2030
PROC,0.6115484,opératoires,2043,2055
LIVB,0.98118883,patiente,2075,2084
DISO,0.3467003,IUE,2106,2110
DISO,0.58218515,impériosité mictionnelle,2114,2139
